Codi;Nom en català;Nom oficial;CCAA Codi;CCAA Nom en català
1;Àlaba;Araba/Álava;16;País Basc
2;Albacete;Albacete;8;Castella - la Manxa
3;Alacant;Alacant/Alicante;10;Comunitat Valenciana
4;Almeria;Almería;1;Andalusia
5;Àvila;Ávila;7;Castella i Lleó
6;Badajoz;Badajoz;11;Extremadura
7;Illes Balears;Illes Balears;4;Illes Balears
8;Barcelona;Barcelona;9;Catalunya
9;Burgos;Burgos;7;Castella i Lleó
10;Càceres;Cáceres;11;Extremadura
11;Cadis;Cádiz;1;Andalusia
12;Castelló de la Plana;Castelló/Castellón;10;Comunitat Valenciana
13;Ciudad Real;Ciudad Real;8;Castella - la Manxa
14;Còrdova;Córdoba;1;Andalusia
15;Corunya, la;Coruña, A;12;Galícia
16;Conca;Cuenca;8;Castella - la Manxa
17;Girona;Girona;9;Catalunya
18;Granada;Granada;1;Andalusia
19;Guadalajara;Guadalajara;8;Castella - la Manxa
20;Guipúscoa;Gipuzkoa;16;País Basc
21;Huelva;Huelva;1;Andalusia
22;Osca;Huesca;2;Aragó
23;Jaén;Jaén;1;Andalusia
24;Lleó;León;7;Castella i Lleó
25;Lleida;Lleida;9;Catalunya
26;Rioja, La;Rioja, La;17;Rioja, La
27;Lugo;Lugo;12;Galícia
28;Madrid;Madrid;13;Comunitat de Madrid
29;Màlaga;Málaga;1;Andalusia
30;Múrcia;Murcia;14;Regió de Múrcia
31;Navarra;Navarra;15;Comunitat Foral de Navarra
32;Ourense;Ourense;12;Galícia
33;Astúries;Asturias;3;Principat d'Astúries
34;Palència;Palencia;7;Castella i Lleó
35;Palmas, Las;Palmas, Las;5;Canàries
36;Pontevedra;Pontevedra;12;Galícia
37;Salamanca;Salamanca;7;Castella i Lleó
38;Santa Cruz de Tenerife;Santa Cruz de Tenerife;5;Canàries
39;Cantàbria;Cantabria;6;Cantàbria
40;Segòvia;Segovia;7;Castella i Lleó
41;Sevilla;Sevilla;1;Andalusia
42;Sòria;Soria;7;Castella i Lleó
43;Tarragona;Tarragona;9;Catalunya
44;Terol;Teruel;2;Aragó
45;Toledo;Toledo;8;Castella - la Manxa
46;València;València/Valencia;10;Comunitat Valenciana
47;Valladolid;Valladolid;7;Castella i Lleó
48;Biscaia;Bizkaia;16;País Basc
49;Zamora;Zamora;7;Castella i Lleó
50;Saragossa;Zaragoza;2;Aragó
51;Ceuta;Ceuta;18;Ceuta
52;Melilla;Melilla;19;Melilla
98;No consta;No consta;98;No consta
99;Altres/Diversos;Altres/Diversos;99;Altres/Diversos
